ligand_id,smiles,molecular_weight,logp,h_donors,h_acceptors,rot_bonds,scaffold,pchembl,reference_binding_kcal_mol,source,standard_type
chembl5406113,CCCN(CCC)c1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,505.54,4.356,3,6,10,O=C(NCc1cccnc1)Nc1cccc2[nH]c(=O)ccc12,9.340,-12.740,chembl_blind_adrb2_v1,IC50
chembl17976,C=C(C)C12CC(C)C34OC(Cc5ccccc5)(OC1C3C=C(COC(=O)Cc1ccc(O)c(OC)c1)CC1(O)C(=O)C(C)=CC14)O2,628.72,4.745,2,9,8,O=C(Cc1ccccc1)OCC1=CC2C3OC4(Cc5ccccc5)OC3CCC2(O4)C2C=CC(=O)C2C1,9.320,-12.712,chembl_blind_adrb2_v1,Ki
chembl2385223,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCc1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,525.52,4.610,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1OCc1ccccc1,9.300,-12.685,chembl_blind_adrb2_v1,Ki
chembl2385224,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCCc1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,539.55,4.652,2,5,10,O=C(Cc1ccccc1)NCc1cccnc1OCCc1ccccc1,9.300,-12.685,chembl_blind_adrb2_v1,Ki
chembl3407760,CC(C(=O)NCc1ccc(C(F)(F)Cl)nc1N1CCCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,533.02,4.681,2,5,8,O=C(Cc1ccccc1)NCc1cccnc1N1CCCCCC1,9.300,-12.685,chembl_blind_adrb2_v1,Ki
chembl3627944,CC(C(=O)NCc1ccc(C(F)(F)F)cc1OCc1ccc(F)cc1)c1ccc(NS(C)(=O)=O)c(F)c1,542.53,5.354,2,4,9,O=C(Cc1ccccc1)NCc1ccccc1OCc1ccccc1,9.300,-12.685,chembl_blind_adrb2_v1,Ki
chembl3627953,CC(C(=O)NCc1ccc(C(F)(F)F)cc1SCc1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,540.60,5.928,2,4,9,O=C(Cc1ccccc1)NCc1ccccc1SCc1ccccc1,9.300,-12.685,chembl_blind_adrb2_v1,Ki
chembl3910069,Cc1nnc(-c2cnc(C3=CCN(C(=O)Nc4ccc(C(C)(C)C)cc4)CC3)c(Cl)c2)o1,451.96,5.712,1,5,3,O=C(Nc1ccccc1)N1CC=C(c2ccc(-c3nnco3)cn2)CC1,9.300,-12.685,chembl_blind_adrb2_v1,IC50
chembl3770682,CC(C(=O)NCc1ccc(C(F)(F)F)nc1N(Cc1ccccc1)S(=O)(=O)c1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,664.70,5.426,2,6,11,O=C(Cc1ccccc1)NCc1cccnc1N(Cc1ccccc1)S(=O)(=O)c1ccccc1,9.270,-12.644,chembl_blind_adrb2_v1,Ki
chembl4077829,[H]CC1([H])CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3c2OCC(=O)N3)CC1,463.46,3.989,3,5,4,O=C1COc2c(cccc2NC(=O)NCc2cccnc2N2CCCCC2)N1,9.230,-12.590,chembl_blind_adrb2_v1,Kd
chembl3317497,Cc1ccc(CCc2nc(C(F)(F)F)ccc2CNC(=O)C(C)c2ccc(NS(C)(=O)=O)c(F)c2)cc1,537.58,5.125,2,4,9,O=C(Cc1ccccc1)NCc1cccnc1CCc1ccccc1,9.220,-12.576,chembl_blind_adrb2_v1,Ki
chembl3627941,CC(C(=O)NCc1ccc(C(F)(F)F)cc1OC1CCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,502.53,4.957,2,4,8,O=C(Cc1ccccc1)NCc1ccccc1OC1CCCC1,9.220,-12.576,chembl_blind_adrb2_v1,Ki
chembl3629228,CC(C(=O)NCc1ccc(C(F)(F)F)cc1C1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,500.56,5.684,2,3,7,O=C(Cc1ccccc1)NCc1ccccc1C1CCCCC1,9.220,-12.576,chembl_blind_adrb2_v1,Ki
chembl3629233,CC(C(=O)NCc1ccc(C(F)(F)F)cc1-c1ccc(F)c(Cl)c1)c1ccc(NS(C)(=O)=O)c(F)c1,546.95,6.095,2,3,7,O=C(Cc1ccccc1)NCc1ccccc1-c1ccccc1,9.220,-12.576,chembl_blind_adrb2_v1,Ki
chembl5870884,CC(C(=O)NCc1sc(C(C)(C)C)nc1-c1cccc(Cl)c1)c1ccc(CNS(C)(=O)=O)c(F)c1,538.11,5.369,2,5,8,O=C(Cc1ccccc1)NCc1scnc1-c1ccccc1,9.220,-12.576,chembl_blind_adrb2_v1,Ki
chembl4787931,Cc1cccc(-n2nc(C(F)(F)F)cc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)c1,441.41,4.363,3,4,4,O=C(NCc1ccnn1-c1ccccc1)Nc1cccc2[nH]c(=O)ccc12,9.190,-12.535,chembl_blind_adrb2_v1,IC50
chembl4553702,CN(C)C1(Cc2ccccc2)CCN(c2cc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3cnccc23)CC1,561.65,6.719,2,4,7,O=C(NCc1ccccc1N1CCC(Cc2ccccc2)CC1)Nc1cccc2cnccc12,9.170,-12.508,chembl_blind_adrb2_v1,Ki
